table,scope,source_url,retrieved_date
salaries,ATL,https://www.basketball-reference.com/teams/ATL/2017.html,2026-07-31
salaries,BOS,https://www.basketball-reference.com/teams/BOS/2017.html,2026-07-31
salaries,BKN,https://www.basketball-reference.com/teams/BRK/2017.html,2026-07-31
salaries,CHA,https://www.basketball-reference.com/teams/CHO/2017.html,2026-07-31
salaries,CHI,https://www.basketball-reference.com/teams/CHI/2017.html,2026-07-31
salaries,CLE,https://www.basketball-reference.com/teams/CLE/2017.html,2026-07-31
salaries,DAL,https://www.basketball-reference.com/teams/DAL/2017.html,2026-07-31
salaries,DEN,https://www.basketball-reference.com/teams/DEN/2017.html,2026-07-31
salaries,DET,https://www.basketball-reference.com/teams/DET/2017.html,2026-07-31
salaries,GSW,https://www.basketball-reference.com/teams/GSW/2017.html,2026-07-31
salaries,HOU,https://www.basketball-reference.com/teams/HOU/2017.html,2026-07-31
salaries,IND,https://www.basketball-reference.com/teams/IND/2017.html,2026-07-31
salaries,LAC,https://www.basketball-reference.com/teams/LAC/2017.html,2026-07-31
salaries,LAL,https://www.basketball-reference.com/teams/LAL/2017.html,2026-07-31
salaries,MEM,https://www.basketball-reference.com/teams/MEM/2017.html,2026-07-31
salaries,MIA,https://www.basketball-reference.com/teams/MIA/2017.html,2026-07-31
salaries,MIL,https://www.basketball-reference.com/teams/MIL/2017.html,2026-07-31
salaries,MIN,https://www.basketball-reference.com/teams/MIN/2017.html,2026-07-31
salaries,NOP,https://www.basketball-reference.com/teams/NOP/2017.html,2026-07-31
salaries,NYK,https://www.basketball-reference.com/teams/NYK/2017.html,2026-07-31
salaries,OKC,https://www.basketball-reference.com/teams/OKC/2017.html,2026-07-31
salaries,ORL,https://www.basketball-reference.com/teams/ORL/2017.html,2026-07-31
salaries,PHI,https://www.basketball-reference.com/teams/PHI/2017.html,2026-07-31
salaries,PHX,https://www.basketball-reference.com/teams/PHO/2017.html,2026-07-31
salaries,POR,https://www.basketball-reference.com/teams/POR/2017.html,2026-07-31
salaries,SAC,https://www.basketball-reference.com/teams/SAC/2017.html,2026-07-31
salaries,SAS,https://www.basketball-reference.com/teams/SAS/2017.html,2026-07-31
salaries,TOR,https://www.basketball-reference.com/teams/TOR/2017.html,2026-07-31
salaries,UTA,https://www.basketball-reference.com/teams/UTA/2017.html,2026-07-31
salaries,WAS,https://www.basketball-reference.com/teams/WAS/2017.html,2026-07-31
transactions,,https://www.basketball-reference.com/leagues/NBA_2017_transactions.html,2026-07-31
